foodwebName,pH,ANC,DOC,maxDepth,area,volume
alford lake,6.38,40,8,0.6,138000,79700
balsam lake,4.78,-14,6.6,0.9,69000,59700
burntbridge lake,6.92,129,7.1,1.5,219000,175400
beaver lake,6.01,17.5,5.5,4.9,550000,1066500
big hope lake,5.72,9,6.7,11.6,89000,515799.99999999994
brandy lake,4.75,-15,14,3,24000,37400
bridge brook lake,6.69,62,6,7.6,676000,1787700
brook trout lake,4.83,-12,1.6,23.2,287000,2419500
buck pond,4.71,-16,9.1,3.7,24000,38900
cascade lake,6.66,38.5,2.2,6.1,401000,1718900
chub lake,5.15,-3,3.2,10.1,186000,717300
chub pond,5.91,7,4.5,7.6,401000,1069700
connera lake,7.05,130,4.3,15.2,328000,1736900
constable lake,4.72,-17,3,4,206000,434700
deep lake,4.6,-20,2.4,21.3,118000,946500
emerald lake,4.56,-24,9,1.7,53000,34200
falls lake,4.46,-31,4.2,7.3,146000,428100
fawn lake,4.73,-10,5.3,0.7,65000,20000
federation lake,4.39,-48,3.5,8.2,20000,88800
goose lake,5.68,0.5,4,1.5,69000,45500
grass lake,5.42,8,11,3.7,89000,125200
gull lake,5.13,-8,2.9,3,506000,933500
gull lake north,4.73,-15,1.2,4.3,101000,266300
helldiver pond,4.71,-12,12,3.4,65000,112200
high pond,4.87,-5,2.1,17.4,158000,901600
hoel lake,6.52,34,3.1,24.4,1817000,14777600
horseshoe lake,6.53,29,3.3,7.9,344000,1616500
indian lake,4.45,-31,6.9,10.7,332000,981000
long lake,6.72,88,7.1,6.1,65000,134700
loon lake,4.64,-22,4.4,4.6,85000,175800
lost lake,4.82,-16,2.7,4,24000,52100
lost lake east,7.32,233,3.9,7.3,78000,196600
little rainbow lake,6.45,45,10,2.1,45000,33200
lower sister lake,4.6,-19,4.7,3,340000,546600
oswego lake,4.87,-5,12,4.3,32000,56300
owl lake,4.83,-15,2.3,4,61000,119800
rat lake,6.21,29,7.7,8.8,117000,433300
razorback lake,5.83,4,2.8,10.7,53000,193100
rock lake,4.92,-9,3.1,5.2,219000,580100
russian lake,4.67,-20,2.3,6.4,150000,562100
safford lake,5.3,7,8.1,6.1,174000,350700
sand lake,4.83,-8,4.2,9.8,291000,1471400
south lake,4.56,-29,2.2,9.1,162000,315700
squaw lake,5.75,1,2.7,6.7,364000,1249200
stink lake,6.88,71,7.5,4.6,28000,83600
twin lake east,4.39,-39,6.1,3.4,77000,104000
twin lake west,4.17,-68,11,6.7,76000,134300
twelfth tee lake,4.75,-25,4.2,7.6,20000,77300
whipple lake,4.91,-26,5.1,2.9,36000,59000
wolf lake,4.19,-63,9.9,7.6,45000,121000
